# Angebot in der Kaufen-Truhe. stufe = ab welcher Quellphase. preis = Splitter je Stueck.
# max = wie viel ein Shift-Klick kauft (Standard 64, bei Werkzeug und Sets 1).
# item: normale Item-ID, Kurzname aus SONDERITEMS (Tranke, Buecher) oder SET:<a:n;b:n> fuer eine gefuellte Truhe.
# id muss eindeutig und stabil bleiben.
# kat = Reiter im Laden: BLOCKS, MINERALS, MOB, FOOD, TOOLS, UTIL, BREW, SPECIAL
# ENCH (Reiter Enchanting) steht bewusst nicht hier: die Upgrade-Station baut ihre Knoepfe selbst
# aus rp_build.ENCH. Die 28 Verzauberungsbuecher sind mit v0.45 entfallen (Luis, 10.09.2026).
id,stufe,name,preis,max,item,kat,pos
1,1,Dirt,2,64,dirt,BLOCKS,
2,1,Cobblestone,2,64,cobblestone,BLOCKS,
3,1,Stone,3,64,stone,BLOCKS,
4,1,Sand,10,64,sand,BLOCKS,
5,1,Gravel,10,64,gravel,BLOCKS,
6,1,Oak Log,50,64,oak_log,BLOCKS,
7,1,Oak Planks,15,64,oak_planks,BLOCKS,
12,1,Bread,50,64,bread,FOOD,
13,1,Apple,30,64,apple,FOOD,
15,1,Water Bucket,500,1,water_bucket,UTIL,
16,1,Lava Bucket,500,1,lava_bucket,UTIL,
141,1,Bone,35,64,bone,MOB,
30,1,Collector Lantern,300,1,LATERNE,SPECIAL,
31,1,Bounty Contract,150,1,KONTRAKT,SPECIAL,
62,1,Obsidian,500,64,obsidian,BLOCKS,
50,1,End Portal Frame,2500,64,end_portal_frame,BLOCKS,
49,1,Fraggle the Dwarf,10000,1,ZWERG,SPECIAL,
40,1,Arrow,20,64,arrow,MOB,
45,2,Steak,100,64,cooked_beef,FOOD,
46,4,Leather,30,64,leather,MOB,
47,2,String,10,64,string,MOB,
67,3,Potion of Healing II,150,1,TRANK_HEILUNG,BREW,
68,3,Potion of Strength,200,1,TRANK_STAERKE,BREW,
69,3,Potion of Night Vision (long),100,1,TRANK_NACHTSICHT,BREW,
72,3,Observer,60,64,observer,UTIL,
74,3,Slimeball,30,64,slime_ball,MOB,
75,3,TNT,200,64,tnt,UTIL,
76,2,Cobweb,20,64,cobweb,MOB,
77,3,Magma Block,20,64,magma_block,BLOCKS,
101,5,Bottle o' Enchanting,50,64,experience_bottle,BREW,
102,5,Ender Pearl,100,16,ender_pearl,MOB,
103,1,Totem of Undying,1500,1,totem_of_undying,SPECIAL,
104,1,Elytra,5000,1,elytra,SPECIAL,
105,1,Iron Golem Egg,2000,1,iron_golem_spawn_egg,SPECIAL,
84,4,Blaze Rod,120,64,blaze_rod,BREW,
85,4,Nether Wart,60,64,nether_wart,BREW,
86,4,Honeycomb,40,64,honeycomb,BLOCKS,
87,4,Sea Lantern,120,64,sea_lantern,BLOCKS,
88,4,Sponge,300,64,sponge,BLOCKS,
89,4,Name Tag,200,1,name_tag,UTIL,
90,4,Saddle,300,1,saddle,UTIL,
110,6,Ghast Tear,300,64,ghast_tear,BREW,
111,6,Phantom Membrane,150,64,phantom_membrane,MOB,
113,6,Dragon's Breath,400,64,dragon_breath,BREW,
115,6,Sculk Sensor,300,64,sculk_sensor,UTIL,
116,1,Heart of the Sea,2500,1,heart_of_the_sea,SPECIAL,
117,6,Enchanted Golden Apple,3000,64,enchanted_golden_apple,FOOD,
124,1,Trident,2000,1,trident,SPECIAL,
125,1,Beacon,8000,1,beacon,SPECIAL,
32,1,Source Focus,800,16,FOCUS,SPECIAL,
33,1,Decoy Totem,600,16,DECOY,SPECIAL,
48,1,Bogi the Archer,7500,1,BOGI,SPECIAL,
34,1,One more Life,1500,1,LEBEN,SPECIAL,
36,1,Key,0,1,KEY,SPECIAL,
35,1,Source Generator,20000,1,GENERATOR,SPECIAL,
178,1,Rotten Flesh,10,64,rotten_flesh,MOB,
179,2,Spider Eye,25,64,spider_eye,MOB,
