# Automatisch aus den Spielrezepten abgeleitet (python3 preise_ableiten.py). Nicht von Hand aendern,
# Basispreise gehoeren nach preise.csv (die gewinnen immer). quelle: basis, rezept, muster oder rest.
item,name,wert,quelle
acacia_boat,Acacia Boat,28,rezept
acacia_button,Acacia Button,6,rezept
acacia_chest_boat,Acacia Boat with Chest,61,rezept
acacia_door,Acacia Door,11,rezept
acacia_fence,Acacia Fence,9,rezept
acacia_fence_gate,Acacia Fence Gate,20,rezept
acacia_hanging_sign,Acacia Hanging Sign,28,rezept
acacia_leaves,Acacia Leaves,1,muster
acacia_log,Acacia Log,15,muster
acacia_planks,Acacia Planks,5,rezept
acacia_pressure_plate,Acacia Pressure Plate,11,rezept
acacia_sapling,Acacia Sapling,20,muster
acacia_shelf,Acacia Shelf,17,rezept
acacia_sign,Acacia Sign,12,rezept
acacia_slab,Acacia Slab,3,rezept
acacia_stairs,Acacia Stairs,9,rezept
acacia_trapdoor,Acacia Trapdoor,17,rezept
acacia_wood,Acacia Wood,22,rezept
activator_rail,Activator Rail,24,rezept
allium,Allium,2,muster
amethyst_block,Block of Amethyst,20,basis
amethyst_cluster,Amethyst Cluster,20,basis
amethyst_shard,Amethyst Shard,6,basis
ancient_debris,Ancient Debris,300,basis
andesite,Andesite,1,basis
andesite_slab,Andesite Slab,1,rest
andesite_stairs,Andesite Stairs,1,rest
andesite_wall,Andesite Wall,1,rest
angler_pottery_sherd,Angler Pottery Sherd,20,muster
anvil,Anvil,749,rezept
apple,Apple,8,basis
archer_pottery_sherd,Archer Pottery Sherd,20,muster
armadillo_scute,Armadillo Scute,20,basis
armor_stand,Armor Stand,15,rezept
arms_up_pottery_sherd,Arms Up Pottery Sherd,20,muster
arrow,Arrow,1,basis
axolotl_bucket,Bucket of Axolotl,80,basis
azalea,Azalea,5,basis
azalea_leaves,Azalea Leaves,1,muster
azure_bluet,Azure Bluet,2,muster
baked_potato,Baked Potato,4,rezept
bamboo,Bamboo,2,basis
bamboo_block,Block of Bamboo,20,rezept
bamboo_button,Bamboo Button,10,rezept
bamboo_chest_raft,Bamboo Raft with Chest,85,rezept
bamboo_door,Bamboo Door,20,rezept
bamboo_fence,Bamboo Fence,15,rezept
bamboo_fence_gate,Bamboo Fence Gate,29,rezept
bamboo_hanging_sign,Bamboo Hanging Sign,29,rezept
bamboo_mosaic,Bamboo Mosaic,11,rezept
bamboo_mosaic_slab,Bamboo Mosaic Slab,7,rezept
bamboo_mosaic_stairs,Bamboo Mosaic Stairs,19,rezept
bamboo_planks,Bamboo Planks,9,rezept
bamboo_pressure_plate,Bamboo Pressure Plate,20,rezept
bamboo_raft,Bamboo Raft,50,rezept
bamboo_shelf,Bamboo Shelf,18,rezept
bamboo_sign,Bamboo Sign,21,rezept
bamboo_slab,Bamboo Slab,5,rezept
bamboo_stairs,Bamboo Stairs,15,rezept
bamboo_trapdoor,Bamboo Trapdoor,30,rezept
barrel,Barrel,25,rezept
basalt,Basalt,2,basis
