# Was der Quell hergibt. phasen = in welchen Phasen der Eintrag im Pool ist (z. B. 1-5 oder 3).
# gewicht = relative Haeufigkeit innerhalb der Phase. min/max = Anzahl pro Abbau.
# Stufen 1 bis 7 (Grau, Gruen, Blau, Lila, Gelb, Orange, Schwarz). Die Stufenkiste steht nicht hier: build.py haengt sie mit 0,5 Prozent an jeden Pool (KISTE_CHANCE).
# Der Pool waechst nicht nur, er wandert: Schutt aus Stufe 1 endet mit Stufe 4, der Kram aus Stufe 2
# mit Stufe 5. Sonst zieht billiger Fuellstoff den Schnitt der spaeten Stufen nach unten (Luis 11.09.2026).
phasen,item,gewicht,min,max
1-4,dirt,30,1,2
1-4,stone,18,1,2
1-4,cobblestone,8,1,1
1-4,oak_planks,6,1,2
1-4,sand,10,1,2
1-4,gravel,8,1,1
1-4,coarse_dirt,3,1,1
1-4,andesite,3,1,1
1-4,clay,2,1,1
1-7,apple,1,1,1
1-7,bone,1,1,1
1-7,cobweb,1,1,1
2-5,coal_ore,8,1,1
2-7,iron_ore,3,1,1
2-5,copper_ore,6,1,1
2-5,raw_iron,1,1,1
2-5,deepslate,6,1,2
2-5,spruce_log,4,1,1
2-5,birch_log,3,1,1
2-5,moss_block,2,1,1
2-5,pumpkin,1,1,1
2-5,melon,1,1,1
2-5,string,2,1,2
2-5,mossy_cobblestone,2,1,1
2-5,oak_sapling,1,1,1
2-5,wheat_seeds,1,1,2
3-7,gold_ore,4,1,1
3-7,redstone_ore,5,1,1
3-7,lapis_ore,4,1,1
3-7,obsidian,3,1,1
3-7,netherrack,5,1,2
3-7,soul_sand,2,1,1
3-7,cow_spawn_egg,1,1,1
3-7,sheep_spawn_egg,1,1,1
3-7,chicken_spawn_egg,1,1,1
3-7,pig_spawn_egg,1,1,1
3-7,bamboo,2,1,1
3-7,sweet_berries,2,1,2
4-7,diamond_ore,3,1,1
5-7,emerald_ore,2,1,1
5-7,nether_wart,2,1,1
5-7,soul_soil,3,1,1
5-7,glowstone,2,1,1
5-7,crimson_stem,3,1,1
5-7,warped_stem,2,1,1
5-7,magma_block,2,1,1
5-7,nether_quartz_ore,3,1,1
5-7,blackstone,4,1,2
6-7,end_stone,5,1,2
6-7,chorus_flower,1,1,1
6-7,purpur_block,2,1,1
6-7,ancient_debris,1,1,1
6-7,amethyst_block,2,1,1
6-7,sculk,2,1,1
6-7,ender_pearl,1,1,1
6-7,shulker_shell,1,1,1
7,diamond_ore,3,1,1
7,ancient_debris,2,1,1
7,emerald_ore,3,1,1
6-7,netherite_scrap,1,1,1
7,enchanted_golden_apple,1,1,1
3-7,raw_gold,2,1,1
4-7,amethyst_shard,3,1,2
4-7,glass,3,1,2
4-7,bookshelf,1,1,1
6-7,wither_skeleton_skull,1,1,1
7,netherite_ingot,1,1,1
7,totem_of_undying,1,1,1
